step,denied_requests,total_nodes_traversed,total_fragments
1,0,1,0
2,0,3,0
3,0,6,0
4,0,10,0
5,0,15,0
6,0,21,0
7,0,28,0
8,0,36,0
9,0,45,0
10,0,55,0
11,0,55,0
12,0,57,0
13,0,57,0
14,0,60,0
15,0,60,0
16,0,60,0
17,0,60,0
18,0,62,1
19,0,72,2
20,0,72,3
21,0,77,4
22,0,77,5
23,0,88,6
24,0,93,8
25,0,107,10
26,0,107,12
27,0,115,14
28,0,115,16
29,0,130,18
30,0,146,20
31,0,163,22
32,0,181,24
33,0,181,26
34,0,198,29
35,0,198,31
36,0,198,33
37,0,203,36
38,0,203,38
39,0,204,40
40,0,222,42
41,0,222,44
42,0,228,46
43,0,235,49
44,0,255,52
45,0,265,55
46,0,265,58
47,0,267,61
48,1,267,64
49,1,267,67
50,1,281,70
51,1,281,73
52,1,287,76
53,1,287,78
54,1,287,80
55,1,287,82
56,1,306,84
57,1,306,86
58,1,306,88
59,1,324,90
60,1,331,93
61,1,351,96
62,1,365,99
63,1,375,102
64,1,375,105
65,1,390,108
66,2,390,111
67,2,390,114
68,2,392,118
69,2,392,122
70,2,392,125
71,2,392,128
72,2,392,131
73,2,397,134
74,2,412,138
75,2,424,142
76,3,424,146
77,4,424,150
78,4,430,154
79,4,430,157
80,4,430,160
81,4,430,163
82,4,430,165
83,4,430,167
84,4,430,169
85,4,430,171
86,4,430,172
87,4,438,173
88,4,439,174
89,4,439,175
90,4,439,176
91,4,439,176
92,4,439,176
93,4,443,176
94,4,443,176
95,4,455,176
96,4,457,176
97,4,460,176
98,4,464,176
99,4,476,176
100,4,489,176
101,4,494,176
102,4,508,176
103,4,523,177
104,4,523,178
105,4,541,179
106,5,541,180
107,5,541,180
108,5,541,180
109,5,553,181
110,5,553,182
111,5,553,183
112,5,570,184
113,5,588,185
114,6,588,186
115,7,588,187
116,7,596,188
117,7,599,189
118,7,599,190
119,7,601,192
120,7,601,193
121,8,601,194
122,8,601,195
123,9,601,196
124,10,601,197
125,11,601,198
126,11,601,199
127,11,606,200
128,11,617,201
129,12,617,202
130,12,617,203
131,12,635,204
132,13,635,205
133,13,635,206
134,13,653,207
135,13,674,208
136,13,677,209
137,13,696,210
138,13,696,211
139,13,696,212
140,13,697,213
141,13,697,214
142,13,697,215
143,14,697,216
