step,denied_requests,total_nodes_traversed,total_fragments
1,0,1,0
2,0,3,0
3,0,6,0
4,0,10,0
5,0,10,0
6,0,10,0
7,0,10,0
8,0,10,0
9,0,11,0
10,0,13,0
11,0,13,0
12,0,15,0
13,0,18,0
14,0,18,0
15,0,18,0
16,0,18,0
17,0,19,0
18,0,21,0
19,0,21,0
20,0,21,0
21,0,22,0
22,0,22,0
23,0,23,0
24,0,25,0
25,0,25,0
26,0,28,0
27,0,32,0
28,0,33,1
29,0,39,2
30,0,39,3
31,0,39,3
32,0,39,3
33,0,44,3
34,0,50,3
35,0,53,4
36,0,61,5
37,0,61,6
38,0,62,8
39,0,71,10
40,0,81,12
41,0,92,14
42,0,104,16
43,0,117,18
44,0,131,20
45,0,146,22
46,0,146,23
47,0,147,24
48,0,162,25
49,0,178,26
50,0,195,27
51,0,213,28
52,0,232,30
53,0,232,32
54,0,232,34
55,0,232,36
56,0,238,38
57,0,245,40
58,0,245,42
59,0,261,44
60,0,262,46
61,0,262,48
62,0,262,50
63,0,262,52
64,0,262,54
65,0,277,56
66,0,294,59
67,0,294,62
68,0,294,65
69,0,294,67
70,0,294,69
71,0,302,72
72,0,304,76
73,0,320,80
74,0,337,84
75,0,337,87
76,0,337,90
77,0,337,93
78,0,337,96
79,0,338,100
80,0,344,104
81,0,344,107
82,0,354,110
83,0,354,113
84,0,360,117
85,0,360,119
86,0,375,122
87,0,377,125
88,0,377,128
89,0,377,131
90,0,377,133
91,0,381,135
92,0,389,137
93,0,394,140
94,0,404,143
95,0,418,147
96,0,438,151
97,0,459,155
98,1,459,159
99,2,459,163
100,3,459,167
101,3,481,171
102,4,481,175
103,4,481,179
104,4,481,183
105,4,481,187
106,4,485,192
107,4,498,198
108,5,498,204
109,5,498,209
110,5,523,214
111,6,523,219
112,6,545,224
113,7,545,229
114,8,545,234
115,9,545,239
116,9,545,244
117,10,545,249
118,10,570,254
119,11,570,259
120,12,570,264
121,12,570,269
122,12,572,274
123,13,572,279
124,13,572,282
125,13,572,285
126,13,572,288
127,13,590,291
128,13,609,294
129,13,609,297
130,14,609,300
131,14,626,303
132,15,626,306
133,16,626,309
134,16,626,312
135,16,644,316
136,17,644,320
137,17,644,324
138,17,647,328
139,17,657,333
140,18,657,338
141,19,657,343
142,19,679,348
143,20,679,353
